GLAUX_ID	LEMMA	SENT	EN_SENT	EN_LEMMA	GOLD_ORIGINAL	GOLD_NORMALIZED	PREDICTED	CORRECT	DEFINITION_GOLD	DEFINITION_PREDICTED	SENSES	MAJORITY_SENSE	ERROR_ANALYSIS
101158166	τύχη	ὦ σκληρὲ δαῖμον , ὦ [τύχαι] θραυσάντυγες ἵππων ἐμῶν , ὦ Παλλὰς ὥς μ’ ἀπώλεσας .	O harsh fortune ! O [Fates] , breaking the wheels of my horses ! O Pallas , how you have destroyed me !	fate	destiny.n.02	destiny.n.02	fortune.n.04	FALSE	destiny, fate: the ultimate agency regarded as predetermining the course of events (often personified as a woman) "we are helpless in the face of destiny"	fortune, destiny, fate, luck, lot, circumstances, portion: your overall circumstances or condition in life (including everything that happens to you) "whatever my fortune may be/deserved a better fate/has a happy lot/the luck of the Irish/a victim of circumstances/success that was her portion"	13	FALSE	2a: sense not correctly inferred from context
107579051	τύχη	οὐ γὰρ ἀπιστεῖν τῷ μύθῳ φησὶν ὅτι τῶν δρυμῶν ποτε ἐμπρησθέντων ἡ γῆ τακεῖσα , ἅτε ἀργυρῖτις καὶ χρυσῖτις , εἰς τὴν ἐπιφάνειαν ἐξέζεσε διὰ τὸ πᾶν ὄρος καὶ πάντα βουνὸν ὕλην εἶναι νομίσματος ὑπό τινος ἀφθόνου [τύχης] σεσωρευμένην .	He tells us we are not to disbelieve the fable , that formerly the forests having been set on fire , the earth , which was loaded with silver and gold , melted , and threw up these metals to the surface , forasmuch as every mountain and wooded hill seemed to be heaped up with money by a lavish [fortune] .	fortune	luck.n.02|luck.n.03	luck.n.02	luck.n.02	TRUE	luck, fortune, chance, hazard: an unknown and unpredictable phenomenon that causes an event to result one way rather than another "bad luck caused his downfall/we ran into each other by pure chance"	luck, fortune, chance, hazard: an unknown and unpredictable phenomenon that causes an event to result one way rather than another "bad luck caused his downfall/we ran into each other by pure chance"	13	TRUE	0
100658043	μάρτυς	Νικίᾳ γὰρ οὔ -τε παρακατατιθεμένῳ τὰ χρήματα οὔ -τε κομιζομένῳ οὐδεὶς οὔ -τ’ ἐλεύθερος οὔ -τε δοῦλος παρεγένετο , ὥστε μή -τ’ ἐκ βασάνων μή -τ’ ἐκ [μαρτύρων] οἷόν τ’ εἶναι γνῶναι περὶ αὐτῶν , ἀλλ’ ἀνάγκη ἐκ τεκμηρίων καὶ ἡμᾶς διδάσκειν καὶ ὑμᾶς δικάζειν , ὁπότεροι τα- τἀληθῆ λέγουσιν .	For Nicias , both when he was depositing the money and when he tried to get it back , had no one with him , either freeman or slave ; thus it is impossible either by torture of slaves or by [testimony] to get at the facts , but it is by circumstantial evidence that we must plead and you must judge which side speaks the truth .	testimony	testimony.n.01	witness.n.03	witness.n.01	FALSE	witness: testimony by word or deed to your religious faith	witness, witnesser, informant: someone who sees an event and reports what happened	5	FALSE	1b: prediction correct
122678239	ἔλαιον	ὡς δὲ Κυνικός τις οὐ φήσας [ἔλαιον] ἔχειν ἐν τῇ ληκύθῳ , προσῄτησεν αὐτόν , οὐκ ἔφη δώσειν ·	When a certain Cynic declared he had no [oil] in his flask and begged some of him , Zeno refused to give him any .	oil	oil.n.01	vegetable_oil.n.01	vegetable_oil.n.01	TRUE	vegetable_oil, oil: any of a group of liquid edible fats that are obtained from plants	vegetable_oil, oil: any of a group of liquid edible fats that are obtained from plants	3	TRUE	0
105825626	θάλασσα	οὕτω καὶ ὁ Γλαῦκος τὰ πλεῖστα ἐν [θαλάσσῃ] διατρίβων Γλαῦκος θαλάσσιος ἐκλήθη .	Thus Glaucus , from spending most of his time in the [sea] , was called ' Marine Glaucus ' .	sea	sea.n.01	sea.n.01	sea.n.01	TRUE	sea: a division of an ocean or a large body of salt water partially enclosed by land	sea: a division of an ocean or a large body of salt water partially enclosed by land	4	TRUE	0
108037425	θάλασσα	καὶ κατεξήρανεν ὁ Θεὸς τὴν ἐρυθρὰν [θάλασσαν] ἔμπροσθεν αὐτῶν καὶ ἤγαγεν αὐτοὺς εἰς ὁδὸν τοῦ Σινὰ καὶ Κάδης Βαρνή ·	And God dried the Red [sea] before them , And brought them to mount Sina , and Cades - Barne ,	sea	sea.n.01	sea.n.01	sea.n.01	TRUE	sea: a division of an ocean or a large body of salt water partially enclosed by land	sea: a division of an ocean or a large body of salt water partially enclosed by land	4	TRUE	0
102219234	θάλασσα	τὴν δὲ δὴ μίμησιν ἔλεγον τὴν τῶν πολεμίων τὴν κακὴν τοιάνδε γίγνεσθαι , ὅταν οἰκῇ μέν τις πρὸς θαλάττῃ , λυπῆται δ’ ὑπὸ πολεμίων , οἷον — φράσω γὰρ οὔτι μνησικακεῖν βουλόμενος ὑμῖν — Μίνως γὰρ δή ποτε τοὺς οἰκοῦντας τὴν Ἀττικὴν παρεστήσατο εἰς χαλεπήν τινα φορὰν δασμοῦ , δύναμιν πολλὴν κατὰ [θάλατταν] κεκτημένος , οἱ δ’ οὔ -τε πω πλοῖα ἐκέκτηντο , καθάπερ νῦν , πολεμικά , οὔ -τ’ αὖ τὴν χώραν πλήρη ναυπηγησίμων ξύλων ὥστ’ εὐμαρῶς ναυτικὴν παρασχέσθαι δύναμιν ·	To illustrate how the evil imitation of enemies , which I spoke of , comes about , when people dwell by the sea and are vexed by enemies , I will give you an example ( though with no wish , of course , to recall to you painful memories ) . When Minos , once upon a time , reduced the people of Attica to a grievous payment of tribute , he was very powerful by [sea] , whereas they possessed no warships at that time such as they have now , nor was their country so rich in timber that they could easily supply themselves with a naval force .	sea	sea.n.01	sea.n.01	sea.n.01	TRUE	sea: a division of an ocean or a large body of salt water partially enclosed by land	sea: a division of an ocean or a large body of salt water partially enclosed by land	4	TRUE	0
109060672	θάλασσα	ἣν φθάσας ἀπέβη , καὶ τὴν ναῦν καταλιπὼν ἀπεχώρησε μακρὰν ἀπὸ [θαλάσσης] ἔχων ἕνα τῶν φίλων σὺν αὑτῷ Τιμάνθην .	Aratus anticipated arrest by landing , and forsaking the ship withdrew a long way from the [sea] , having with him one of his friends , Timanthes .	sea	sea.n.01	sea.n.01	sea.n.01	TRUE	sea: a division of an ocean or a large body of salt water partially enclosed by land	sea: a division of an ocean or a large body of salt water partially enclosed by land	4	TRUE	0
117958275	θάλασσα	διείληπται γὰρ εὐρίποις ὑπεισρεούσης τῆς [θαλάττης] , καὶ κεκόσμηται γεφύραις ξεστοῦ καὶ λευκοῦ λίθου .	A strait whose waters flow gently from the [sea] separates it from the mainland . Many bridges of wood and brilliant white stone garnish its roads .	sea	sea.n.01	sea.n.01	sea.n.01	TRUE	sea: a division of an ocean or a large body of salt water partially enclosed by land	sea: a division of an ocean or a large body of salt water partially enclosed by land	4	TRUE	0
119082079	πῦρ	μεγαλήτωρ δὲ καὶ Φιλαῖος , ὅτι τὸ [πῦρ] φεύγοντες διὰ τοῦ τοίχου παρὰ τὴν γῆν ἔδυσαν , ἐγένοντο μικροὶ δύο ὄρνιθες ·	Megaletor and Philaeus , escaping the [flames] through the stockade at ground level , turned into two tiny birds .	flame	fire.n.03	fire.n.03	fire.n.03	TRUE	fire, flame, flaming: the process of combustion of inflammable materials producing heat and light and (often) smoke "fire was one of our ancestors' first discoveries"	fire, flame, flaming: the process of combustion of inflammable materials producing heat and light and (often) smoke "fire was one of our ancestors' first discoveries"	11	TRUE	0
121156785	υἱός	τούτῳ δὲ τῷ Νῶε [υἱοὶ] τρεῖς ἦσαν , καθὼς καὶ ἐν τῷ δευτέρῳ τόμῳ ἐδηλώσαμεν , ὧν τὰ ὀνόματά ἐστιν Σὴμ καὶ Χὰμ καὶ Ἰάφεθ , οἷς καὶ γυναῖκες τρεῖς ἦσαν τὸ καθ’ ἕνα αὐτῶν , καὶ αὐτός , καὶ ἡ γυνὴ αὐτοῦ .	And this Noah had three [sons] ( as we mentioned in the second book ) , whose names were Shem , and Ham , and Japhet ; and these had three wives , one wife each ; each man and his wife .	son	son.n.01	son.n.01	son.n.01	TRUE	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	5	TRUE	0
107984151	υἱός	ὁ ἄρχων Ἀχιέζερ καὶ Ἰωὰς υἱὸς Ἀσμὰ τοῦ Γαβαθίτου καὶ Ἰωὴλ καὶ Ἰωφαλὴτ [υἱοὶ] Ἀσμὼθ καὶ Βερχία καὶ Ἰηοὺλ ὁ Ἀναθωθὶ καὶ Σαμαΐας ὁ Γαβαωνίτης δυνατὸς ἐν τοῖς τριάκοντα καὶ ἐπὶ τῶν τριάκοντα Ἱερεμία καὶ Ἰεζιὴλ καὶ Ἰωανὰν καὶ Ἰωζαβὰθ ὁ Γαδαραθιίμ , Ἀζαΐ καὶ Ἰαριμοὺθ καὶ Βααλιὰ καὶ Σαμαραΐα καὶ Σαφατίας ὁ Χαραιφιήλ , Ἡλκανὰ καὶ Ἰησουνὶ καὶ Ὀζριὴλ καὶ Ἰωζαρὰ καὶ Σοβοκὰμ καὶ οἱ Κορῖται καὶ Ἰελία καὶ Ζαβαδία υἱοὶ Ἰραὰμ καὶ οἱ τοῦ Γεδώρ .	and Joas son of Asma the Gabathite , and Joel and Jophalet , [sons] of Asmoth , and Berchia , and Jeul of Anathoth , and Samaias the Gabaonite a mighty man among the thirty , and over the thirty ; and Jeremia , and Jeziel , and Joanan , and Jozabath of Gadarathiim , Azai and Arimuth , and Baalia , and Samaraia , and Saphatias of Charaephiel , Helcana , and Jesuni , and Ozriel ,	son	son.n.01	son.n.01	son.n.01	TRUE	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	5	TRUE	0
104886653	υἱός	ἰδοὺ τέτοκε Μελχὰ καὶ αὐτὴ [υἱοὺς] Ναχὼρ τῷ ἀδελφῷ σου , τὸν Οὒζ πρωτότοκον καὶ τὸν Βαὺξ ἀδελφὸν αὐτοῦ καὶ τὸν Καμουὴλ πατέρα Σύρων καὶ τὸν Χαζὰδ καὶ τὸν Ἀζαῦ καὶ τὸν Φαλδὲς καὶ τὸν Ἰελδὰφ καὶ τὸν Βαθουήλ ·	Behold , Melcha herself too has born [sons] to Nachor your brother , Uz the firstborn , and Baux his brother , and Camuel the father of the Syrians , and Chazad , and Azav and Phaldes , and Jeldaph , and Bathuel , and Bathuel begot Rebecca ; these are eight sons ,	son	son.n.01	son.n.01	son.n.01	TRUE	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	5	TRUE	0
101308419	υἱός	καὶ τὰ μὲν ἄλλα κατέλιπεν ἐν Κυζίκῳ , αὐτὸν δὲ καὶ τὸν [υἱὸν] ἀναβιβασάμενος ἧκεν ἄγων πρὸς Ἀγησίλαον .	And Lysander left everything else at Cyzicus , but put Spithridates himself and his [son] on board ship and brought them with him to Agesilaus .	son	son.n.01	son.n.01	son.n.01	TRUE	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	5	TRUE	0
108122078	υἱός	ὁ Θεὸς τῶν δυνάμεων , ἐπίστρεψον δή , καὶ ἐπίβλεψον ἐξ οὐρανοῦ καὶ ἴδε καὶ ἐπίσκεψαι τὴν ἄμπελον ταύτην καὶ κατάρτισαι αὐτήν , ἣν ἐφύτευσεν ἡ δεξιά σου , καὶ ἐπὶ [υἱὸν] ἀνθρώπου , ὃν ἐκραταίωσας σεαυτῷ .	O God of hosts , turn , we pray you : look on us from heaven , and behold and visit this vine ; and restore that which your right hand has planted : and look on the [son] of man whom you did strengthen for yourself .	son	son.n.01	son.n.01	son.n.01	TRUE	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	son, boy: a male human offspring "their son became a famous judge/his boy is taller than he is"	5	TRUE	0
107851300	κιβωτός	καὶ ἀπῇρεν ὁ λαὸς ἐκ τῶν σκηνωμάτων αὐτῶν διαβῆναι τὸν Ἰορδάνην , οἱ δὲ ἱερεῖς ᾔροσαν τὴν [κιβωτὸν] τῆς διαθήκης Κυρίου πρότεροι τοῦ λαοῦ .	And the people removed from their tents to cross over Jordan , and the priests bore the [ark] of the covenant of the Lord before the people .	ark	ark.n.01	ark.n.01	ark.n.01	TRUE	Ark, Ark_of_the_Covenant: (Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments	Ark, Ark_of_the_Covenant: (Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments	2	FALSE	0
121216206	λόγος	εἰ δὲ καὶ Σελήνη μὴ ἔχουσα [λόγον] πρὸς τὸν κλῆρον τῆς μητρός , πρεσβυτέραις συνελεύσεται .	but if the moon has no [relationship] with the Lot of the Mother , he will unite with elderly women .	relationship	relation.n.01	relation.n.01	relation.n.01	TRUE	relation: an abstraction belonging to or characteristic of two entities or parts together	relation: an abstraction belonging to or characteristic of two entities or parts together	95	FALSE	0
