101158166	destiny.n.02	confirmed	τύχη
100658043	testimony.n.01	confirmed	μάρτυς
122678239	oil.n.01	confirmed	ἔλαιον
105825626	sea.n.01	confirmed	θάλασσα
119082079	fire.n.03	confirmed	πῦρ
121156785	son.n.01	confirmed	υἱός
107851300	ark.n.01	confirmed	κιβωτός
121216206	relation.n.01	confirmed	λόγος
109302750	oracle.n.03	confirmed	μαντεῖον
106918552	soldier.n.01	confirmed	στρατιώτης
101449337	sun.n.01	confirmed	ἥλιος
102178529	disease.n.01	confirmed	νόσος
116149325	bloodshed.n.01	confirmed	φόνος
106228683	war.n.01	confirmed	πόλεμος
109166289	invitation.n.01	confirmed	κλῆσις
103506038	premise.n.01	confirmed	ὅρος
107347363	standard.n.06	confirmed	σημεῖον
107255278	city.n.03	confirmed	πόλις
106467365	oath.n.02|oath.n.03	confirmed	ὅρκος
109972430	olive.n.01|olive.n.04	confirmed	ἐλαία
102277690	property.n.01	confirmed	οὐσία
107243660	citizen.n.01	confirmed	πολίτης
105067154	person.n.01	confirmed	ἄνθρωπος
107164617	power.n.01|office.n.04	confirmed	κράτος
118688663	town.n.01	confirmed	πόλις
104203590	hand.n.13	confirmed	χείρ
110230052	heart.n.03	confirmed	καρδία
119209504	pomegranate.n.02	confirmed	ῥόα
107059018	region.n.01|part.n.01	confirmed	μέρος
107846840	chariot.n.02	confirmed	ἅρμα
116854927	hound.n.01	confirmed	κύων
115693207	change.n.01|change.n.03|change.n.04	confirmed	μεταβολή
100220106	court.n.10	in doubt	μέγαρον
109311738	air.n.02	confirmed	ἀήρ
122770333	light.n.01	confirmed	φάος
117685842	perception.n.03	confirmed	αἴσθησις
106821217	success.n.01|success.n.02	confirmed	προτέρημα
103448543	support.n.06|provision.n.04	confirmed	ἐπισιτισμός
107716262	recoil.n.02	confirmed	ἀνακοπή
103207463	harmony.n.01|harmony.n.04	confirmed	ὁμόνοια
100375337	year.n.01	confirmed	ἔτος
122787110	wing.n.01	confirmed	πτέρυξ
102100328	injury.n.04|assault.n.02	confirmed	αἰκία
108336214	cloud.n.04|cloud.n.02	confirmed	νεφέλη
118695422	mother.n.01	confirmed	μήτηρ
117525076	name.n.02|name.n.01	confirmed	ὄνομα
119034151	mother.n.01	confirmed	μήτηρ
101451478	stage.n.06	confirmed	σταθμός
117334225	inquiry.n.03	confirmed	σκέψις
117020813	town.n.01	confirmed	πολίχνιον
119086605	lecherousness.n.01	confirmed	ἔρως
115824920	child.n.01	confirmed	παῖς
100611817	fruit.n.03	confirmed	ἀπαρχή
117034616	trench.n.01	confirmed	τάφρος
123971888	arrow.n.02	confirmed	ὀϊστός
104909372	day.n.02|day.n.01	confirmed	ἡμέρα
101075254	herald.n.01	confirmed	κῆρυξ
118431036	theater.n.01	confirmed	θέατρον
119021123	wages.n.01	confirmed	μισθός
102952995	parturition.n.01	confirmed	ὠδίς
107929054	fear.n.03	confirmed	φόβος
114992231	name.n.02|name.n.01	confirmed	ὄνομα
101470052	plain.n.01	confirmed	πεδίον
100669319	juror.n.01	not in inventory (Word Alignment)	δικαστής
115981805	weapon.n.01	confirmed	ὅπλον
100548606	wife.n.01	confirmed	δάμαρ
101841969	truth.n.02	in doubt	ἀλήθεια
101206327	buttocks.n.01	confirmed	πρωκτός
116978970	augury.n.01	confirmed	σημεῖον
103934120	antenna.n.03	confirmed	πλεκτάνη
109285701	ass.n.03	confirmed	ὄνος
120768164	number.n.01	confirmed	ἀριθμός
117715680	flesh.n.01	confirmed	κρέας
115632643	history.n.02	confirmed	συγγραφή
117313440	insult.n.02	confirmed	ὕβρις
104593147	species.n.02	confirmed	εἶδος
123956789	grief.n.01	confirmed	πένθος
124685080	back.n.01	confirmed	νῶτον
107929468	head.n.04|headman.n.02	confirmed	ἄρχων
110128308	need.n.01	confirmed	χρεία
117668362	wind.n.01	confirmed	ἄνεμος
101431517	thinker.n.01	confirmed	φροντιστής
122631263	painter.n.01	confirmed	ζωγράφος
108177271	direction.n.01	in doubt	ὁδός
107995375	silver.n.02	confirmed	ἀργύριον
106313812	son.n.02	confirmed	λόγος
121144626	man.n.03	confirmed	ἄνθρωπος
121994450	person.n.01	confirmed	πρόσωπον
104971731	augury.n.01	confirmed	σημεῖον
106895028	support.n.04	confirmed	συμμαχία
104567746	genus.n.01	confirmed	γένος
109912582	military_capability.n.01|forte.n.01	in doubt	ἰσχύς
106361104	doubt.n.01	confirmed	ἀσάφεια
100681277	city.n.03	confirmed	πόλις
117546131	business.n.05|business.n.04	in doubt	ἔργον
109216371	string.n.03	confirmed	χορδή
119183640	basil.n.01|basil.n.03	confirmed	ὤκιμον
116798908	vessel.n.03	confirmed	ψυκτήρ
103793549	class.n.01	confirmed	γένος
106020169	pyramid.n.01	confirmed	πυραμίς
117317194	night.n.01	confirmed	νύξ
119209452	soil.n.02	confirmed	ῥυπαρία
121473242	earth.n.04	confirmed	γῆ
101174226	lever.n.01|lever.n.02	confirmed	μοχλός
110197072	law.n.01	confirmed	νόμος
100243877	craft.n.04	confirmed	μηχανή
109927802	love.n.04	confirmed	ἔρως
112452069	qualification.n.02	confirmed	διορισμός
102406141	ballot.n.01	in doubt	ψῆφος
123232266	kernel.n.03	in doubt	οὐσία
100093073	appearance.n.01	confirmed	εἶδος
119086892	spring.n.03|spring.n.04	confirmed	κρήνη
121358866	wisdom.n.01|wisdom.n.02|wisdom.n.03|wisdom.n.04	confirmed	σοφία
101602398	cavalry.n.01	confirmed	ἱππεύς
109241658	vulture.n.01	confirmed	γύψ
108131155	dawn.n.01	confirmed	ἑωσφόρος
108133509	commandment.n.01	confirmed	ἐντολή
102410653	act.n.02	confirmed	ἔργον
121342997	territory.n.03	confirmed	χώρα
113459511	condition.n.05	confirmed	εὐεξία
102044504	purpose.n.01	confirmed	διάνοια
116873033	natural_depression.n.01	confirmed	κόλπος
