mind.n.01	mind.n.01	117454186|117454204|100702860|100706853|117485034|117485155|117493125|109111185|117500187|109112507|100724122|117507848|100750988|100757218|100757340|117542368|117548356|117548410|100778448|100781643|117567879|109180105|117580682|117589918|117597756|117601869|117614400|117618943|117623812|117635132|117635183|117636771|117637765|117638133|117639837|117671133|117691568|117709320|117720894|117720984|117749292|109400264|109402926|109411622|117945171|117948463|117950751|117985789|117986151|117992243|117992545|117992868|117994635|117997043|117997049|117998499|117998568|117999428|118002103|118002781|118003066|118006309|118006556|101390398|118172647|101413291|118294675|118297361|109919482|118313145|118330364|118386925|118386951|118393747|118399730|118404189|118438892|118461508|101698197|101701005|118485411|118490498|118492209|110105168|118507642|110120295|118514469|110133796|101745558|101749731|101754695|101754972|101760734|101761050|101761193|101761203|101762952|101763648|101764738|101773874|101776947|101781484|101785320|101806324|110209586|110214057|101825838|101825904|110225270|110226192|110230561|110233127|101866189|118648443|101876134|101878591|101878717|101879945|101883601|101887053|101929675|101964585|101969124|102066618|102075553|102077252|102078340|102080789|102096569|102097589|102107219|102107488|102112476|102116542|102121814|102133342|102145302|102148507|118926595|102182858|102214471|119002993|102280881|119066494|102294225|119092111|119096775|119147670|119190771|102477016|102926635|103347158|103347399|103621522|103631851|103664826|120652990|120683063|120683568|120691293|120694160|103948790|120726408|104014607|120830976|120841735|120875342|120876728|104170410|104235613|104313257|104366226|104367640|104367665|104368423|104368871|104368895|121249552|104510882|104565430|104566856|121389161|104887650|104888417|104891603|104916616|104935719|113326224|113333630|104978501|104985709|105009318|105044382|105045564|105045613|105045705|105046956|105048596|105054294|105054540|105054564|105054603|105054766|105175294|105196053|105292281|105303213|117638173|105341187|105432425|105439562|105762620|105763245|105767355|105769768|105772570|105772811|105773100|105773632|105773835|105773945|105774033|105776057|105776281|122645683|122681772|122681874|122682420|122688727|122688742|122708146|122716031|122717932|122724887|122726069|122726118|122726211|122727460|122729104|122736058|122736082|122736122|122736289|122774460|122776641|106112860|106112887|106128422|106139670|106140213|106141285|106144021|106144165|106144804|106145012|106145931|106146242|106150539|106156066|106158286|106158522|106161984|106162404|106163056|106166755|106166934|106167661|106170652|106172488|106175037|106175197|106175890|106176309|106178136|106178895|106181614|106181853|106182071|106182382|106182557|106182956|106183475|106183690|106184328|106189887|106190128|106190325|106190910|106193186|106194817|106195392|106198788|106198972|106201144|106201500|106201551|106201876|106202786|106203947|106204843|106204950|106206252|106209312|106210328|106210630|106214024|106220911|106222773|106223193|106223457|106224888|106226486|106231068|106231801|106232893|106232992|106233876|106234793|106238357|106239520|106240225|106242016|106242286|106242995|106243950|106244416|106244532|106245297|106247264|106248333|106249171|106254120|106254699|106256556|106259444|106261151|106261820|106262142|106262642|106264107|106265815|106265895|106270849|106271955|106272914|106274331|106274350|106274412|106274509|106274698|106275006|106275012|106275150|106278145|106279608|106279753|106280464|106281631|106282774|106283314|106283733|106283979|106284124|106284443|106284771|106285038|106288082|106288132|106290351|106291275|106295961|106298213|106298434|106298763|106298806|106298896|106299328|106300707|106301570|106302229|106305187|106305298|106305852|106306409|106310541|106310889|106312058|123090028|106313080|106313727|106319766|106320233|106321633|106322064|106322382|106327518|106327906|106329893|106334569|106334692|106335288|106335463|106335945|106336080|106336086|106336150|106336887|106336961|106336980|106338330|106339917|106339940|106340016|106340244|106343036|106343190|106344056|106346827|106346848|106348368|106349195|106350201|106351077|106353297|106355946|106359274|106359709|106359832|106362866|106364068|106364616|106364745|106364854|106364951|106367250|106367425|106368580|106369574|106374434|106375263|106375620|106375699|106377213|106377757|106377950|106379591|106380087|106380653|106382048|106384782|106386018|106386592|106389723|106390211|106391542|106392001|106393085|106395257|106396146|106396813|106400601|106402166|106410094|106416950|106417526|106418248|106421491|106422905|106423997|106424295|106427262|106427267|106427867|106429618|106433375|106434236|106435540|106437036|106437162|106438440|106438867|106439482|123217119|106440140|106442315|106446623|106447011|106447623|106449410|106452170|106456197|106457140|106458013|106458308|106458626|106462177|106463011|106463414|106463967|106465447|106466069|106467635|106468925|106469417|106470096|106470221|106470680|123250480|123250579|123251024|106478824|106479577|106483791|106486867|106489447|106497600|106499873|106500643|123282244|106505859|106507621|106512887|106513548|106515622|106517200|106517730|106518148|106519906|106521730|106523238|106525669|106525884|106529272|106530208|106531358|106533257|106533840|106535217|106535524|106535933|106536924|106538655|106541597|106544037|106544789|106559718|123339568|123339816|106571258|106575052|106578912|106584158|106586151|106587043|123529203|106764178|123588050|123588462|123589207|123590212|123591313|107059844|115494424|107123334|123918484|107151519|107164637|107194614|107195751|107208207|107208655|107241377|107309196|107332237|107333888|107346311|107358569|115808539|115814740|115831120|115834056|115834263|115844976|115854197|115865358|107477296|115879613|115879752|107495020|115896436|115906083|115907957|115908046|115911538|107526017|115917322|107530119|115919829|115923596|115935844|115943032|115945206|115947744|115951114|115953009|107567394|107567424|107567449|115970974|115979172|115982389|115987756|115996177|116002699|116009100|116015205|116078777|116080777|116083619|116084013|116109774|116113597|124552393|124556277|124569096|124569803|124604893|124616900|124629214|124640102|107863805|116253844|124647227|124648066|124648270|124653241|116270050|124689827|116306502|124718706|124725728|124730928|124754960|108073075|108081097|108084351|108149260|116541252|116543203|116547504|116547639|116550206|108166662|108169851|108183785|108202651|108271365|108273065|108324115|116871363|116895996|108654733|108674394|108746256|108766872|108786655|100401091|108897978|108898669|117321977|108962806|117380082
purpose.n.01	purpose.n.01|aim.n.02|mind.n.06	100714775|117493560|100726465|100782905|100784389|100784721|109246016|109247556|117638739|109306483|101080464|101092790|101093273|101123904|101263299|109915449|118305027|118376343|118389949|118453553|101733535|101924883|102005322|102044504|118888447|102176435|102212322|102212435|102324101|102360483|102384247|102431515|102433008|102433150|102447768|103050230|103118952|103157810|103169261|103210141|103272778|112439222|121255827|104480420|121259014|104482624|121290442|121293725|105043810|105122036|106162213|106199273|106199275|106236222|106267572|106318654|106322519|106339427|123121186|123121199|106380762|106491170|106838184|115384557|115401004|115406563|115421978|115427351|115443381|115496081|107113789|107123816|107127248|115517889|107129299|107136054|115546584|107177047|107180684|107184909|107203579|107224913|115615774|107238811|107292901|107305049|107313983|107326939|107345441|107347706|107353337|115809125|115861148|115865739|115872239|115878685|115889483|115946576|115951366|116000205|116002749|116016200|116038663|116044225|116083939|116084759|124477951|124478095|116096702|116102785|116105050|116110930|116114707|116119880|116126670|107790687|116189767|124601930|116230572|124701825|108551612|108603945|108637396|100330786|100331155|100332228|100332820|108733971|117147213|100384344|100419833|100421868|100425290|100431876|100450346|108838998|100450559|100453209|108843269|108863323|108868518|108899475|108939393|108998904|109034922|121379915|108312335
reason.n.03	reason.n.03|understanding.n.01|intelligence.n.01|mind.n.07|brain.n.02|faculty.n.01|perception.n.04|skill.n.01|comprehension.n.01|wisdom.n.03	117566238|109364625|109364655|109364690|109752562|109796221|101697581|101697611|101703437|101729105|101732762|101732788|101874273|102180674|102180760|102250009|119339849|102925715|103468553|103587446|103948307|103948366|103952699|104049558|104189403|104199718|104260666|104355849|104474205|104533041|113338440|122648587|122682336|122682992|106109957|106116186|106122351|106130515|106134327|106142634|106143048|106145712|106151174|106154300|106163232|106168075|106168328|106172729|106172733|106176965|106183772|106194978|106200162|106207312|106210274|106250195|106259937|123038331|106265490|106265996|106268724|106283403|106298563|106304611|106309614|106332653|106342094|106345441|106346260|106346359|106356308|106357326|106425527|106447773|106449063|106471370|106495465|106506040|106507581|106507672|106510897|106534912|106537383|123323433|107165291|124573831|124601540|124913825|116553486|116553502|116554707|116554725|116555336|116555356|116555437|116555452|116555511|116555529|116555538|116555574|116555588|116555622|116555649|116555662|116555664|116555687|116555710|116555723|116555749|116555807|116555834|116555857|116555877|116555898|116555918|116555932|116555972|116555977|116555983|116555993|116555995|116556017|116556026|116556054|116556056|116556065|116556066|116556118|116556122|116556187|116556188|116556212|116556412|116556507|116556564|116556630|116557275|116575210|116575227|116586873|100675947|100703315|100705738|117483900|117496969|100740289|100740512|100741069|117528316|117566127|117671678|117686615|117727700|117984844|117995509|117997177|118003460|118004022|118009690|118013106|118297186|110210579|110235902|101916071|102116743|102116806|102116838|102124341|118994555|103574265|103578922|103586683|103587251|120685532|120685830|120694084|104038697|104039641|120837326|120837865|120841724|104090617|104593889|104594236|121447634|104929540|104935817|104935874|113354533|122648501|106124732|114556095|123040440|123040463|123100610|123143008|123143620|123179635|123180174|123186407|123257442|123922002|115799484|115905788|115919657|115987801|115991332|116334905|108146198|108150875|108179820|116923212|108794952|108801327|117373501|109052463|109052549|100689767|109590977|117999560|118356723|118439615|101732800|118510263|118512787|101787211|101875443|110406481|102313857|119099806|103347682|103347768|103347921|103560260|103910596|103927089|104017527|104155578|104189434|104217369|104359532|104370989|121179009|121263112|104501785|121292435|113461344|105285563|122773605|106115301|107465688|116540209|116552335|116553474|108626366|109960575|101732725|101732852|101872276|102033006|102646621|103587434|120685131|104171901|104355968|104367487|106121405|106183767|106328493|106332405|106333346|106411884|106551371|115353859|107532513|116553537|116555327|116555368|116555600|116555930|116556149|108614721|100752278|100759679|110008358|113528592|105189938|118334114|104935838|105342278|106427919
idea.n.01	idea.n.01|thinking.n.01|reasoning.n.01|concept.n.01|notion.n.02|contemplation.n.02	100677396|100677987|100705058|100709210|100710648|109113178|100724817|117505684|100730636|100753748|100756324|100761652|100763388|100766021|100777631|100781488|100781799|117575752|117581666|117601049|117637781|117667690|109287550|109304156|109308494|117703213|117760846|109412052|101155663|101168526|117956050|117985685|101221216|109859118|118291990|118297335|118318510|118379745|118390629|118390645|118405701|118471319|118480874|118482156|101747767|101760605|101763497|101767767|101768468|101768738|101768809|101786700|101975037|102037901|118861151|118867138|102136408|119006170|119096654|102476148|103115458|103362712|103664251|103674699|103688440|120651550|104046215|104046221|104046226|104051468|112442066|104058593|104071850|120966097|120991702|104287620|104292666|104295157|104295830|104315101|104357860|121180802|121249357|104483315|121285425|121293263|121344751|121527221|113352798|122742148|106151071|106188026|106227469|106256393|123089946|123090274|106416689|123218106|123241690|123590243|106899063|107021635|115425630|115437035|123921194|107456389|107456473|115891287|124557996|124561655|124600549|124619868|124748131|124763352|107994597|108157587|108199406|108556338|108556805|108558204|108565768|108640184|108653645|108663747|108691203|108887079|108957617|108976982|109007737|109046257|117491335|117496631|100747615|100757601|100766595|117595536|109278814|109301673|117954791|118297374|101753563|101763504|101763868|101786652|101786754|101786764|101822608|102075092|102104783|102120742|102139236|119157869|111205495|103353523|103564957|103667445|103672825|103673490|103674652|104015044|104051508|104051542|104051565|104055215|104068874|104087197|104217557|104287554|104287575|104287658|104287876|104357810|104643295|121526003|104766780|105175878|122681746|106759906|124579660|108917851|109042535|103571302|103613897|104533275|104533351|104601067|104601080|104601119|123040294|123040338|106334024|123187775|123320127|123329436|123547866|123550966|116564451|100784956|109317361|118318990|118475466|103954350|121153458|123336181|123560452|117637423|111178333|116330046|116335485
heart.n.01	heart.n.01	100675152|100701655|118387260|118391067|118468639|118992063|119036504|104882767|104935563|104935637|104935664|104953316|104993072|104995359|105009780|105010919|106120543|106171830|106191661|106210718|106276886|106277113|106277206|106386781|106392406|106528833|106560127|123911290|107217975|107852087|108082164|108251607|108300751|108315738
meaning.n.01	meaning.n.01|sense.n.02|intent.n.02|point.n.03	117476820|117479733|117627064|109315507|109394849|118311150|101887639|102446218|103566518|120780695|104018234|104019361|104507602|104507617|121488153|113525796|113546371|105446226|105770366|122739006|114602880|106463233|123328447|106899081|107159211|107163070|107454805|115860164|115964824|115965719|115987681|124667309|108556227|108565887|117563171|109360104|101733366|101868360|102184643|104506647|121518065|107018154|107018167|107019150|107460627|100694817|118418152|103410240|121961332|100755935
inclination.n.01	inclination.n.01|attitude.n.01	117480780|109685957|118479139|118483146|102183287|105773593|106109826|106137465|106157859|106183541|106195132|106260852|106399015|106415133|106429447|115334492|107118257|107118852|107125812|115519732|115800872|115889373|116043746|116105119|116141052|116203729|116332787|100738800|103466487|103467098|103471459|103473492|114637746
opinion.n.01	opinion.n.01|judgment.n.01|impression.n.01|opinion.n.02|public_opinion.n.01|remark.n.01|conviction.n.01|belief.n.01|decision.n.02	100681893|100691616|100712537|100731730|100737896|117989238|101534095|118399010|118486828|118504781|101786580|118868010|103222224|103225162|121151111|121152910|106535359|107218368|107259177|107334492|124476020|100416597|109034850|109036443|100682367|100703954|100725809|100727801|100771129|100783340|117691859|109390637|118335504|102427053|104573073|104607832|106337434|106461559|107117170|115978364|116111248|116114533|108191706|108820383|100674801|100748342|103068683|103467167|104120006|100722872|118398172|118837535|123348161|107230354|100725996|100752687|102037974|102047191|102323055|123572854
thought.n.03	thought.n.03	117459154|117578313|118445150|118483863|102037865|102119842|103674770|104082441|104288080|104292639|104292647|104503862|107159136|108363720
imagination.n.01	imagination.n.01|vision.n.01|fancy.n.02|imagination.n.02|invention.n.01	100721915|118292203|110124721|102211478|103422437|103425108|104973409|106836725|108310275|108609612|100763599|109648454|104878109
