100004460	loom	She shall grow old in my house at Argos far from her own home , busying herself with her loom and visiting my couch ;	19
100007972	mast	When they had come inside the harbor they furled the sails and laid them in the ship 's hold ; they slackened the forestays , lowered the mast into its place , and rowed the ship to the place where they would have her lie ; there they cast out their mooring - stones and made fast the hawsers .	27
100008353	sail	As the sail bellied with the wind the ship flew through the seething deep water ,	2
100017396	web	working at a great web of purple linen , on which she was embroidering the struggles [ athloi ] between Trojans and Achaeans , that Ares had made them fight for her sake .	4
100035715	loom	It may be that you will have to ply the loom in Argos at the bidding of a mistress , or to fetch water from the springs Messeis or Hypereia , treated brutally by some cruel task - master ;	10
100036016	loom	Go , then , within the house , and busy yourself with your daily duties , your loom , your distaff , and the ordering of your servants ;	17
100118746	loom	She was at her loom in an inner part of the house , weaving a double purple web , and embroidering it with many flowers .	4
100126439	mast	Achilles next offered a prize of iron for archery — ten double - edged axes and ten with single eddies : he set up a ship 's mast , some way off upon the sands , and with a fine string tied a pigeon to it by the foot ;	27
100126654	wing	then espying the pigeon high up under the clouds , he hit her in the middle of the wing as she was circling upwards ; the arrow went clean through the wing and fixed itself in the ground at Meriones ' feet , but the bird perched on the ship 's mast hanging her head and with all her feathers drooping ; the life went out of her ,	18
100251366	web	and Athena to teach her needlework and the weaving of the varied web ;	12
100257383	loom	On that day a woman should set up her loom and get forward with her work .	9
100874522	mast	First they unfastened the sheets and let down the sail and lowered the mast by the forestays upon the mast - rest .	13
120576801	mast	And that is the kind ( of tortoise ) carrying the mast .	11
120578387	mast	Again , if we wish , we will place in the tower , on these central - uprights above at the front , square masts carrying suspensions of rams .	24
120578425	mast	Let these masts be braced by cables made fast to the uprights and crossbeams .	2
117208107	mast	Others , clinging to masts or planks , were thrown upon barren rocks or promontories ,	4
113670396	mast	But to counteract this the Tyrians adopted the following contrivance . They filled a vessel , which had been used for transporting horses , with dry twigs and other combustible wood , fixed two masts on the prow , and fenced it round in the form of a circle as large as possible , so that it might contain as much chaff and as many torches as possible .	34
113670443	mast	They also stretched out a double yard - arm upon each mast ; and from these they hung caldrons into which they had poured or cast materials likely to kindle flame which would extend to a great distance . They then put ballast into the stern , in order to raise the prow aloft , the vessel being weighed down abaft .	11
113762161	mast	They even say further , that Achilles has appeared to them not in time of sleep , or a dream , but in a visible form on the mast , or at the extremity of the yards , in the same manner as the Dioscuri have appeared .	28
