100004455	house	She shall grow old in my house at Argos far from her own home , busying herself with her loom and visiting my couch ;	6
100009445	abode	But when the sun 's glorious light had faded , they went home to bed , each in his own abode , which lame Hephaistos with his consummate skill had fashioned for them .	20
100012409	home	Nevertheless , if any man is in such haste to be at home again , let him lay his hand to his ship that he may meet his doom in the sight of all .	12
100018275	house	Often did Menelaos receive him as a guest in our house when he came visiting us from Crete .	10
100019529	house	Alexander says you are to go to the house ;	8
100032443	house	Has , then , your house fared so well at the hands of the Trojans ?	5
100034959	household	I must go home to see my household , my wife and my little son , for I know not whether I shall ever again return to them ,	7
100036009	house	Go , then , within the house , and busy yourself with your daily duties , your loom , your distaff , and the ordering of your servants ;	6
100036054	home	When she reached her home she found her maidens within ,	4
100036094	house	so they mourned Hektor in his own house though he was yet alive , for they deemed that they should never see him return safe from battle , and from the furious hands of the Achaeans .	7
100037356	house	The old horseman Peleus , counselor and orator among the Myrmidons , loved when I was in his house to question me concerning the race and lineage of all the Argives . How would it not grieve him could he hear of them as now quailing before Hektor ?	18
100042639	house	and said , " Teucer , man after my own heart , son of Telamon , leader among the host , shoot on , and be at once the saving of the Danaans and the glory of your father Telamon , who brought you up and took care of you in his own house when you were a child , bastard though you were .	53
100046149	house	I have three daughters , Chrysothemis , Laodike , and Iphianassa , let him take the one of his choice , freely and without gifts of wooing , to the house of Peleus ;	30
100047310	house	Agamemnon has three daughters , Chrysothemis , Laodike , and Iphianassa ; you may take the one of your choice , freely and without gifts of wooing , to the house of Peleus ;	30
100081679	house	let him die ; he dies with honor who dies fighting for his country ; and he will leave his wife and children safe behind him , with his house and allotment unplundered if only the Achaeans can be driven back to their own land , they and their ships . "	29
100096831	house	The battle raged round them like fierce flames that when once kindled spread like wildfire over a city , and the houses fall in the glare of its burning — even such was the roar	21
100130910	house	The old man went straight into the house where Achilles , loved of the gods , was sitting .	7
100131822	house	Then the son of Peleus sprang like a lion through the door of his house , not alone , but with him went his two squires [ therapontes ] Automedon and Alkimos who were closer to him than any others of his comrades now that Patroklos was no more . These unyoked the horses and mules , and bade Priam 's herald and attendant be seated within the house .	14
100251025	house	for a man grows eager to work when he considers his neighbor , a rich man who hastens to plough and plant and put his house in good order ;	25
100251901	home	A child was brought up at his good mother 's side a hundred years , an utter simpleton , playing childishly in his own home .	24
100252064	house	Their armor was of bronze , and their houses of bronze , and of bronze were their implements :	8
100253583	house	the gods soon blot him out and make that man 's house low ,	11
100253956	home	What a man has by him at home does not trouble him :	7
100254056	house	There should be an only son to feed his father 's house , for so wealth will increase in the home ;	11
